clase,stel_sku,stel_nombre,canonico_sku,canonico_nombre,marca,duplicados_del_mismo_canonico,ficha_stel,ficha_canonico,docs_stel,movimientos_stel,stock_stel,decision_propuesta,motivo
"PAR_1_A_1","PRO00337","INGERSOLL RAND QXX2PT04PQ4 PISTOLA A BATERIA 4.0NM","IR.QXX2PT04PQ4","INGERSOLL RAND QXX2PT04PQ4 4NM PISTOL, QUICK CHANGE, WIRELESS","INGERSOLL RAND","1","1","3","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO00338","INGERSOLL RAND QXX2PT18PQ4 PISTOLA A BATERIA 18NM","IR.QXX2PT18PQ4","INGERSOLL RAND QXX2PT18PQ4 18NM PISTOL, QUICK CHANGE, WIRELESS","INGERSOLL RAND","1","1","3","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO00340","INGERSOLL RAND QXC2PT200NPS12 PISTOLA A BATERIA 148NM","IR.QXC2PT200NPS12","INGERSOLL RAND QXC2PT200NPS12 200NM QX PISTOL, 3/4"" SQ. USB ONLY","INGERSOLL RAND","1","1","3","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO00406","APEX 3156mm / 315-6MM Allen 6MM 5/16","AP.315-6MM","APEX 315-6MM EMBOCADURA","APEX","1","1","9","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"GRUPO_MUCHOS_A_UNO","PRO00411","RIVIT RIV504 JAWS (x3pz) Cod.1249200 (**) Pos.6 Morsetti / Muelas","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO00433","TOHNICHI CEM50N3X12D-G","TC.CEM50N3X12D-G","TOHNICHI CEM50N3X12D-G DIGITAL TORQUE WRENCH","TOHNICHI","2","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","2 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"PAR_1_A_1","PRO00434","TOHNICHI CEM100N3X15D-G","TC.CEM100N3X15D-G","TOHNICHI CEM100N3X15D-G DIGITAL TORQUE WRENCH","TOHNICHI","1","1","3","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"GRUPO_MUCHOS_A_UNO","PRO00435","TOHNICHI CEM200N3X19D-G","TC.CEM200N3X19D-G","TOHNICHI CEM200N3X19D-G DIGITAL TORQUE WRENCH","TOHNICHI","2","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","2 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO00436","TOHNICHI CEM850N3X32D-G","TC.CEM850N3X32D-G","TOHNICHI CEM850N3X32D-G DIGITAL TORQUE WRENCH","TOHNICHI","2","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","2 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO03661","TOHNICHI CEM50N3X12D-G","TC.CEM50N3X12D-G","TOHNICHI CEM50N3X12D-G DIGITAL TORQUE WRENCH","TOHNICHI","2","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","2 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO03663","TOHNICHI CEM200N3X19D-G","TC.CEM200N3X19D-G","TOHNICHI CEM200N3X19D-G DIGITAL TORQUE WRENCH","TOHNICHI","2","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","2 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO03664","TOHNICHI CEM850N3X32D-G","TC.CEM850N3X32D-G","TOHNICHI CEM850N3X32D-G DIGITAL TORQUE WRENCH","TOHNICHI","2","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","2 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"PAR_1_A_1","PRO03895","ESTIC EH2-R1016-S Recta de 4 a 16NM","ET.EH2-R1016-S","ESTIC EH2-R1016-S STRAIGHT TOOL 16NM","ESTIC","1","1","3","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO03901","TOHNICHI PCL25Nx10D 5 - 25NM","TC.PCL25NX10D","TOHNICHI PCL25NX10D TORQUE WRENCH","TOHNICHI","1","1","3","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO03921","APEX 30MM15-D Apex 30mm 12-Point Metric Standard Socket, 1/2'' Square Drive","AP.30MM15D","APEX 30MM15-D EMBOCADURA","APEX","1","1","7","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO04059","TOHNICHI SH8DX17 CABEZA 17MM","TC.SH8DX17","TOHNICHI SH8DX17 OPEN END HEAD","TOHNICHI","1","1","3","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"GRUPO_MUCHOS_A_UNO","PRO04060","TOHNICHI CSPMS12N4X8D","TC.CSPMS12N4X8D","TOHNICHI CSPMS12N4X8D TORQUE WRENCH","TOHNICHI","2","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","2 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO04587","APEX QR308 ADAPTADOR RETRACTIL 3/8 CUADRADO A 1/4 HEXAGONAL","AP.QR-308","APEX QR-308 PUNTA","APEX","2","1","9","1","0","sin saldo registrado","NO APLICAR - revisar a mano","2 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"PAR_1_A_1","PRO04635","TOHNICHI CEM10N3X8D-G Torquimetro Digital","TC.CEM10N3X8D-G","TOHNICHI CEM10N3X8D-G DIGITAL TORQUE WRENCH","TOHNICHI","1","1","3","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO04638","INGERSOLL RAND QXC2PT500NPS12 PISTOLA A BATERIA 500NM","IR.QXC2PT500NPS12","INGERSOLL RAND QXC2PT500NPS12 500NM QX PISTOL, 3/4"" SQ. USB ONLY","INGERSOLL RAND","1","1","3","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO04779","TORERO OBN-30PD PISTOLA DE 6 A 14 NM ENCASTRE 3/8"" SQ","TO.OBN-30PD","TORERO OBN-30PD DE 6 NM A 12 NM","TORERO","1","1","10","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO04780","TORERO OBN-50PH PISTOLA DE 18 A 28 NM ENCASTRE 1/4"" HEX","TO.OBN-50PH","TORERO OBN-50PH DE 22 NM A 35 NM","TORERO","1","1","10","3","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha; el de STEL tiene 3 documento(s) y hay que conservarlos"
"PAR_1_A_1","PRO04782","TORERO OBN-40PD PISTOLA DE 11 A 20 NM ENCASTRE 3/8"" SQ.","TO.OBN-40PD","TORERO OBN-40PD DE 13 NM A 22 NM","TORERO","1","1","10","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO04783","TORERO OBN-50SD RECTO DE 18 A 25 NM ENCASTRE 3/8"" SQ","TO.OBN-50SD","TORERO OBN-50SD DE 22 NM A 35 NM","TORERO","1","1","10","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO04794","TORERO OBN-50SH RECTO DE 18 A 25 NM","TO.OBN-50SH","TORERO OBN-50SH DE 18 NM A 30 NM","TORERO","1","1","10","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO04796","TORERO LTR-12SH-5 SCREWDRIVER DE 0.5 A 5.0 NM 450RPM","TO.LTR-12SH-5","TORERO LTR-12SH-5 DE 0.4 NM A 5 NM","TORERO","1","1","10","4","1","14","revisar: tiene stock","el técnico tiene la ficha, pero el de STEL tiene SALDO de stock"
"PAR_1_A_1","PRO04873","RIVIT RIV503 JAWS (x3pz) Cod.1250100 Morsetti / Muelas","RV.RIV503","RIVIT.MAQ RIV503 REMACHADORA HIDRONEUMATICA HASTA D 4,8MM - 4035700","RIVIT","1","1","3","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"GRUPO_MUCHOS_A_UNO","PRO04979","RIVIT RIV504 Cone holding nosepiece 4133800","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO04980","RIVIT RIV504 Connector 4245500 POS 11","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO04984","RIVIT RIV504 Cone holding nosepiece 4133800","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO04985","RIVIT RIV504 Connector 4245500 POS 11","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO04986","RIVIT RIV504 KIT Kit nails collector 4204200* Pos KIT A","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO04987","RIVIT RIV504 KIT O-ring 4225300 Pos 32","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO04988","RIVIT RIV504 KIT Nails collector 4135900 Pos 33","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO04989","RIVIT RIV504 KIT Nails collector body 4136000 Pos 34","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO04990","RIVIT RIV504 KIT Silencer 4172900 Pos 36","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO04991","RIVIT RIV504 KIT End collector body 4173300 Pos 37","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO04992","RIVIT RIV504 KIT Kit pneumatic piston 4269100* Pos KIT B","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO04993","RIVIT RIV504 KIT Piston ring 4225700 Pos 74","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO04994","RIVIT RIV504 KIT Oil stem 4265200 Pos 76","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO04995","RIVIT RIV504 KIT Bottom 4265300 Pos 77","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO04996","RIVIT RIV504 KIT O-Ring 4135800 Pos 78","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO04997","RIVIT RIV504 KIT Screw 4265400 Pos 79","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO04998","RIVIT RIV504 KIT O-ring 4265500 Pos 80","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO04999","RIVIT RIV504 O-ring 4169200 Pos 2","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05000","RIVIT RIV504 Head carrying nosepiece 4133700* Pos 3","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05001","RIVIT RIV504 O-ring 4172100 Pos 4","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05002","RIVIT RIV504 Cone holding nosepiece 4133800* Pos 5","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05004","RIVIT RIV504 Jaws opener 4133900** Pos 7A","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05005","RIVIT RIV504 Jaws return spring 4134000** Pos 9","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05006","RIVIT RIV504 O-ring 4172200 Pos 10","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05007","RIVIT RIV504 Connector 4245500 Pos 11","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05012","RIVIT RIV504 Intake mandrel 4243400 Pos 16","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05013","RIVIT RIV504 Spacer 4340900 Pos 17","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05014","RIVIT RIV504 Gasket 4134100 Pos 18","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05015","RIVIT RIV504 Head cylinder 4341000 Pos 19","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05017","RIVIT RIV504 Anti estrusion ring 4134700 Pos 21","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05019","RIVIT RIV504 Teflon ring 4134900 Pos 23","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05020","RIVIT RIV504 Piston 4342600 Pos 24A","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05022","RIVIT RIV504 O-ring 4225000 Pos 26","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05023","RIVIT RIV504 Gasket 4135000** Pos 27","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05024","RIVIT RIV504 End plug 4398400 Pos 28A","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05025","RIVIT RIV504 Stem adaptor 4398500 Pos 30A","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05026","RIVIT RIV504 O-ring 4225300 Pos 32","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05027","RIVIT RIV504 Nails collector 4135900 Pos 33","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05028","RIVIT RIV504 Nails collector body 4136000 Pos 34","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
